fecha,longitude,latitude,radiance
2024-07-10 01:55:00,15.000785,37.750973,1.152
2024-07-10 01:55:00,14.992587,37.757797,0.91
2024-07-09 20:05:00,14.986895,37.752354,1.258
2024-07-07 01:30:00,15.008193,37.753983,4.349
2024-07-07 01:30:00,15.006242,37.745178,0.823
2024-07-07 01:30:00,14.99906,37.76437,2.529
2024-07-07 01:30:00,14.997361,37.755524,61.934
2024-07-07 01:30:00,14.995327,37.746735,2.12
2024-07-07 01:30:00,14.987807,37.765976,0.761
2024-07-07 01:30:00,14.986025,37.757141,3.756
2024-07-07 01:30:00,14.984012,37.748341,0.903
2024-07-06 19:45:00,14.972954,37.744793,0.76
2024-07-05 20:40:00,14.990912,37.746952,0.842
2024-07-05 09:40:00,14.996789,37.749504,2.962
2024-07-05 01:50:00,15.007735,37.753731,12.583
2024-07-05 01:50:00,14.993232,37.75634,17.748
2024-07-04 20:00:00,15.022392,37.758213,0.527
2024-07-04 20:00:00,15.005046,37.744587,10.127
2024-07-04 20:00:00,15.003122,37.754589,61.07
2024-07-04 20:00:00,14.993454,37.763378,1.46
2024-07-04 20:00:00,14.992072,37.73196,0.763
2024-07-04 20:00:00,14.990815,37.742088,16.508
2024-07-04 20:00:00,14.981286,37.750816,47.565
2024-07-04 20:00:00,14.973106,37.739006,0.886
2024-07-04 20:00:00,14.970334,37.748894,1.318
2024-07-04 12:10:00,15.004782,37.749783,2.692
2024-07-04 12:10:00,14.976532,37.743595,8.197
2024-07-04 09:00:00,14.999336,37.753895,18.165
2024-07-04 09:00:00,14.997237,37.744751,2.804
2024-07-04 09:00:00,14.986844,37.755447,9.239
2024-07-04 01:10:00,15.003863,37.752514,3.947
2024-07-04 01:10:00,14.999475,37.756344,5.028
2024-07-04 01:10:00,14.981144,37.754509,2.459
2024-07-04 01:10:00,14.972341,37.758942,0.941
2024-07-03 02:05:00,15.022621,37.74966,2.082
2024-07-03 02:05:00,14.992385,37.756229,2.213
2024-07-02 09:15:00,14.99565,37.755283,8.099
2024-07-02 09:15:00,14.993601,37.746216,4.937
2024-07-01 19:40:00,14.989977,37.748405,1.718
2024-07-01 19:40:00,14.982993,37.75106,1.633
2024-07-01 13:25:00,14.999514,37.745865,3.07
2024-06-30 20:35:00,15.008399,37.748085,1.749
2024-06-30 20:35:00,15.006062,37.758297,1.242
2024-06-30 20:35:00,14.991503,37.746407,4.861
2024-06-30 20:35:00,14.989655,37.756657,2.508
2024-06-30 12:45:00,14.992862,37.749283,9.587
2023-12-01 08:55:00,14.999144,37.743896,1.696
2023-11-30 01:25:00,15.003941,37.748756,1.929
2023-11-29 20:15:00,15.006232,37.750267,0.814
2023-11-29 20:15:00,14.992386,37.747768,1.293
2023-11-24 09:05:00,15.008698,37.745773,1.863
2023-11-24 09:05:00,14.995258,37.747196,3.674
2023-11-20 01:05:00,15.010036,37.750492,0.775
2023-11-20 01:05:00,15.004946,37.753811,0.639
2023-11-20 01:05:00,15.002907,37.743664,0.885
2023-11-20 01:05:00,14.997128,37.751904,0.941
